Grapheme	EXAMPLES	SCA	IPA	FREQUENCY
^	*loɁᴰ;*dəŋᴮ;*təᴮ;*blaᴮ;*thaŋᴮ		NULL	3460
$	*loɁᴰ;*dəŋᴮ;*təᴮ;*blaᴮ;*thaŋᴮ		NULL	3460
*	*loɁᴰ;*dəŋᴮ;*təᴮ;*blaᴮ;*thaŋᴮ		NULL	539
’	tɨ⁴⁵’;thɔ⁴⁵’;pha⁴⁵’;wa⁴⁵’;bɔ⁴⁵’		NULL	91
^ ̈			NULL	0
ᴮ	*dəŋᴮ;*təᴮ;*blaᴮ;*thaŋᴮ;*phaᴮ	1	ᴮ/¹¹	148
¹¹	tɔ¹¹;to¹¹;pla¹¹;thɛ¹¹;phe¹¹	1	¹¹	543
⁴⁵	khiɁ⁴⁵;hwɛɁ⁴⁵;laɁ⁴⁵;thauɁ⁴⁵mi³³;chwiɁ⁴⁵	2	⁴⁵	281
ᴰ	*loɁᴰ;*kjaɁᴰ;*pheɁᴰ;*kwatᴰ;laɁᴰ	3	ᴰ/⁵¹	71
²¹	nɔɁ²¹;ɈauɁ²¹;ɟɛɁ²¹;pɨɁ²¹;tɛɁ²¹	3	²¹	193
³¹	ɕja³¹ sa⁵³;jɔŋ³¹kaŋ⁵³;kaiɁ³¹;phaiɁ³¹;kɔuɁ³¹	3	³¹	59
⁵³	ɟu¹¹khaŋ⁵³;θa⁵³;thaŋ⁵³;nai⁵³;Ɂu⁵³	3	⁵³	208
ᵀ	*k-sreᵀ;*t-laᵀ	4	ᵀ/³³	2
ᴬ	*khanᴬ;*sraᴬ;*plaᴬ;*thamᴬ;*gramᴬ	5	ᴬ/⁵⁵	140
⁵⁵	khja⁵⁵;pha⁵⁵;wɛ⁵⁵;thɛ⁵⁵mi¹¹;khrwi⁵⁵	5	⁵⁵	576
²	*Ɂbɔᴬ *boɁ²;*thaŋ²;*wa²;*phiɁ²;*do²	6	²	81
³	*thy³;*phɣe³;*daɁ²baŋ³;*ɣa³;*phwa³	6	³	1822
¹	*lejᴬ *laN¹;*phla¹;*khiɁ¹;*kho²nuɁ¹;*ny¹	6	¹	42
⁴	*tham⁴;*Ɂu⁴;*khli⁴;*xwi⁴;*phe⁴	6	⁴	39
⁵	khɛ̃³⁵;sja³⁵;thɔ̃³⁵;ni³⁵;khlei³⁵	6	⁵	52
a	*blaᴮ;*thaŋᴮ;*phaᴮ;*kjaɁᴰ;*hwaᴮ	A	a	818
ã	Ɂãi³³;phã³⁵;phlãu³³;dãə³³;Ɂãi⁵⁵	A	ã	34
ɑ	khɑ³³	A	ɑ	1
ɑ̃	Ɂɑ̃⁵⁵;thɑ̃⁵⁵;mɑ̃⁵⁵;bɑ̃³³;chɑ̃³³	A	ɑ̃	20
β	βʉ¹¹;βou³³;βõu³³	B	β	3
c	*ceᴮ;*cuᴬ;*caᴬ;*cwiKᴰ;*cəŋᴬ	C	c	78
Ɉ	*Ɉimᴮ;*Ɉiᴮ;ɈauɁ²¹;Ɉu¹¹;Ɉau³³	C	ɟ	7
ɟ	ɟu¹¹khaŋ⁵³;ɟɨ¹¹;ɟɛɁ²¹;ɟa¹¹	C	ɟ	4
ch	*chjaNᴬ;*chwɛᴮ;*k-chaŋᴬ;*chuNᴬ;*chuNᴮ	C	cʰ	168
θ	θa⁵³;θwi¹¹;θɨɁ⁴⁵;θau¹¹;θɨ¹¹	D	θ	77
