Grapheme	EXAMPLES	SCA	IPA	FREQUENCY
e	*pheɁᴰ;*k-hneᴬ;*klejᴬ;*khrejᴮ;*srejᴮ	E	e	345
ə	*dəŋᴮ;*təᴮ;*Ɂdəᴬ;*Ɂəŋᴬ;*thəNᴬ	E	ə	263
ɛ	*ɁɛNᴮ;*chwɛᴮ;*Ɂdɛᴮ;*jɛɁᴰ;*mɛɁᴰ	E	ɛ	239
ə̃	thə̃ɨ̯³³;mə̃ɨ³¹̈;phlə̃ɨ⁵³;thə̃ɨ³¹;θə̃ɨ⁵⁵	E	ə̃	14
ə̯	nə̯u¹¹̈;pə̯ɨ³³;mə̯ɨ³³;chə̯ ut²¹;chuə̯ m³³	E	ə̯	8
ɛ̃	thɛ̃³³;khɛ̃³⁵;bɛ̃³³;chɛ̃³⁵;khɛ̃³⁵	E	ɛ̃	18
x	*xi²;*xwi⁴;*xoɁ¹;*xa¹;*xy⁴	G	x	37
ɣ	*phɣe³;*ɣa³;*ɣyɁ¹;*phɣiɁ¹;*phɣa¹	G	ɣ	61
h	*hwaᴮ;*hlowᴮ;*k-hneᴬ;*hatᴰ;*hlowᴮ	H	h	62
Ɂ	*loɁᴰ;*kjaɁᴰ;*Ɂbaŋᴮ;*pheɁᴰ;laɁᴰ	H	ʔ	654
ʔ	*ʔminᴬ	H	ʔ	1
i	*swiᴮ;*thɔɁᴰmiᴬ;*khrwitᴰ;*siɁᴰ;*kwiᴮ	I	i	709
ĩ	thɛĩ ³¹;bɛĩ ⁵⁵;lɛĩ ³³;nɛĩ ⁵⁵	I	ĩ	4
ɨ	*jɨmᴮ;*pɨᴮ;*kɨᴬ;*mwɨNᴬ;*hmɨᴮ	I	ɨ	152
ɪ	nɪ³³;a⁵⁵bwɪ³³;ɪ³³;bɪ¹¹;mɪ³³	I	ɪ	13
ɨ̯	təɨ̯ ¹¹;thə̃ɨ̯³³;θə̃ɨ̯ ⁵⁵	I	ɨ̯	3
j	*kjaɁᴰ;*jɨmᴮ;*klejᴬ;*khrejᴮ;*srejᴮ	J	j	193
K	*cwiKᴰ	K	K/k	1
g	*gramᴬ;*s-gaNᴬ;*grɔtᴰ;* glamᴮ;*g-rjaᴬ	K	g	26
k	*kjaɁᴰ;*kwatᴰ;*k-hneᴬ;*klejᴬ;*nokᴰ	K	k	219
kh	*khanᴬ;*khaᴮ;*khrejᴮ;*khrwitᴰ;*khoᴮ	K	kʰ	293
l	*loɁᴰ;*blaᴮ;*plaᴬ;*hlowᴮ;laɁᴰ	L	l	604
m	*thamᴬ;*gramᴬ;*jɨmᴮ;*thɔɁᴰmiᴬ;s-hmaᴮ	M	m	347
N	*ɁɛNᴮ;*phruNᴬ;*chjaNᴬ;*ɁbɔNᴬ;*khaNᴬ	N	N/n	37
n	*khanᴬ;*k-hneᴬ;*nokᴰ;*nuᴮ;b-naᴮ	N	n	238
ŋ	*dəŋᴮ;*thaŋᴮ;*Ɂbaŋᴮ;daɁᴰɁbaŋᴬ;*ŋjajᴬ	N	ŋ	184
ɲ	*hɲawᴬ;*hɲaᴮ;*ɲaᴬ;*hɲɔɁᴰ;ɲɔ³³	N	ɲ	13
b	*blaᴮ;*Ɂbaŋᴮ;b-naᴮ;*breᴬ;daɁᴰɁbaŋᴬ	P	b	188
p	*plaᴬ;*paɁᴰ;*p;*pɨᴮ;*plɔŋᴮ	P	p	206
ɓ	ɓa³³;ɓʊ³³;ɓe³³ ɓa³³;ɓe³³ ɓa³³;-ɓɔ³³	P	ɓ	6
ph	*phaᴮ;*pheɁᴰ;*phrɔᴬ;*pheᴬ;*phruNᴬ	P	pʰ	222
r	*sraᴬ;*gramᴬ;*khrejᴮ;*phrɔᴬ;*khrwitᴰ	R	r	157
ʀ	ʀu³³	R	ʀ	1
s	*sraᴬ;*swiᴮ;*srejᴮ;*siɁᴰ;*swaᴮ	S	s	228
z	ze³³	S	z	1
ɕ	ɕɨ¹¹;ɕi⁵³;ɕɨ⁵³ca¹¹;ɕi¹¹;ɕi⁵³	S	ɕ	32
ʃ	ʃi⁵⁵;ʃwɛ³³;ʃa⁵⁵;ʃʊ³³;ʃe⁵⁵	S	ʃ	15
d	*dəŋᴮ;*Ɂdoᴮ;daɁᴰɁbaŋᴬ;*Ɂdəᴬ;*Ɂdejᴬ	T	d	179
t	*təᴮ;*kwatᴰ;*khrwitᴰ;*t;*hatᴰ	T	t	133
ɗ	ɗi⁵⁵;-ɗɛ³³;ɗɔ⁵⁵;- ɗi³³;ɗi³³	T	ɗ	10
th	*thaŋᴮ;*thamᴬ;*thoᴮ;*thɔɁᴰmiᴬ;*thuᴮ	T	tʰ	316
o	*loɁᴰ;*hlowᴮ;*Ɂdoᴮ;*thoᴮ;*nokᴰ	U	o	254
õ	phõ⁵⁵;thu⁵⁵thõ¹¹;lõ⁵⁵;phlõu⁵⁵;nõ⁵⁵	U	õ	16
ɔ	*thɔɁᴰmiᴬ;*phrɔᴬ;*plɔŋᴮ;*ɁbɔNᴬ;*k-hnɔNᴮ	U	ɔ	276
o̯	Ɂa¹¹ko̯u⁵⁵	U	o̯	1
ɔ̃	thɔ̃³⁵;lɔ̃³³;bɔ̃⁵⁵;nɔ̃³³;Ɂɔ̃³³	U	ɔ̃	27
w	*hwaᴮ;*hlowᴮ;*kwatᴰ;*swiᴮ;*khrwitᴰ	W	w	309
u	*Ɂuᴬ;*nuᴮ;*phruNᴬ;kuᴬ;*thuᴮ	Y	u	413
y	*thy³;*ny¹;*phy²;*ly²;*nyɁ¹	Y	y	13
ü	jɔ¹¹ thü³³	Y	ü	1
ũ	jũ¹¹	Y	ũ	1
ʉ	mʉ³³;βʉ¹¹;thʉ⁵⁵;dʉ⁵⁵	Y	ʉ	4
ʊ	hʊ³³;ʊ³³;kə³³nʊ³³;ɓʊ³³;ʃʊ³³	Y	ʊ	9
u̯	mu̯əm⁵³;su̯ən³³	Y	u̯	2
-	*k-hneᴬ;b-naᴮ;*s-kiᴬ;s-hmaᴮ;*k-hniᴬ	_	+	70
a¹¹̈	pla¹¹̈;xa¹¹̈;phla¹¹̈;chɛ̃³⁵xa¹¹̈;phla¹¹̈	A 1	ä ¹¹	19
ã¹¹̈	thã¹¹̈;kwã¹¹̈	A 1	ã̈ ¹¹	2
ɑ̃¹¹̈	lɑ̃¹¹̈;mɑ̃¹¹̈	A 1	ɑ̃̈ ¹¹	2
a³¹̈	sa³¹̈;pla³¹̈;ɕja³¹̈;khla³¹̈;ŋa³¹̈	A 3	ä ³¹	45
a³¹῀	pha³¹῀;wa³¹῀;kha³¹῀;swa³¹῀;kha³¹῀	A 3	ã ³¹	16
e¹¹̈	kə³³se¹¹̈;kə³³le¹¹̈;ne¹¹̈;ɣe¹¹̈;mi³³ne¹¹̈	E 1	ë ¹¹	6
ə¹¹̈	thə¹¹̈;tə¹¹̈;lə¹¹̈;ɣə¹¹̈	E 1	ə̈ ¹¹	4
ɛ¹¹̈	paɁ²¹nɛ¹¹̈;mɛ¹¹̈;jɛ¹¹̈;mɛ¹¹̈;lɛ¹¹̈	E 1	ɛ̈ ¹¹	14
ɛ̃¹¹̈	mɛ̃¹¹̈	E 1	ɛ̃̈ ¹¹	1
ɛ³̃⁵	sɛ³̃⁵	E 2	ɛ̃ ³⁵	1
e³¹̈	ne³¹̈;phe³¹̈;se³¹̈;paɁ⁴⁵de³¹̈;ple³¹̈	E 3	ë ³¹	16
e³¹῀	Ɂe³¹῀;be³¹῀;Ɂe³¹῀;me³¹῀;de³¹῀	E 3	ẽ ³¹	11
ə³¹̈	bə³¹̈;bə³¹̈;lə³¹̈;pə³¹̈dɛ³³;baə³¹̈	E 3	ə̈ ³¹	6
ə³¹῀	phlə³¹῀;də³¹῀;lə³¹῀;thə³¹῀;blə³¹῀	E 3	ə̃ ³¹	6
ɛ³¹̈	bwɛ³¹̈;thwɛ³¹̈;bwɛ³¹̈;thwɛ³¹̈;kwɛ³¹̈	E 3	ɛ̈ ³¹	6
ɛ³¹῀	chwɛ³¹῀;dɛ³¹῀;dwɛ³¹῀	E 3	ɛ̃ ³¹	3
ə̃³¹̈	Ɂə̃³¹̈;phə̃³¹̈;cə̃³¹̈	E 3	ə̃̈ ³¹	3
ɛ⁵̃⁵	lɛ⁵̃⁵;pu¹¹khɛ⁵̃⁵	E 5	ɛ̃ ⁵⁵	2
i¹¹̈	lei¹¹̈;lwi¹¹̈;li¹¹̈;wai¹¹̈;ni¹¹̈	I 1	ï ¹¹	23
ɨ¹¹̈	məɨ¹¹̈;lɨ¹¹̈;jɨ¹¹̈;ɣɨ¹¹̈;mɨ¹¹̈	I 1	ɨ̈ ¹¹	8
ɨ̯¹¹̈	ɣəɨ̯¹¹̈	I 1	ɨ̯̈ ¹¹	1
i³¹̈	phri³¹̈;ki³¹̈;si³¹̈;khi³¹̈;khli³¹̈	I 3	ï ³¹	36
i³¹῀	swi³¹῀;xi³¹῀;si³¹῀;khwi³¹῀;si³¹῀	I 3	ĩ ³¹	15
ĩ³¹̈	mɛĩ³¹̈	I 3	ɨ̃̈ ³¹	1
ɨ³¹̈	dɨ³¹̈;mə̃ɨ³¹̈;jɨ³¹̈;nə̃ɨ³¹̈	I 3	ɨ̈ ³¹	4
ɨ³¹῀	lɨ³¹῀;mɨ³¹῀;bɨ³¹῀;phɨ³¹῀;hɨ³¹῀	I 3	ɨ̃ ³¹	7
o¹¹̈	mo¹¹̈;to¹¹̈;khi³³ko¹¹̈;to¹¹̈;ta¹¹ko¹¹̈	U 1	õ ¹¹	6
ɔ¹¹̈	tɔ¹¹̈;jɔ¹¹̈;nɔ¹¹̈	U 1	ɔ̈ ¹¹	3
o³¹̈	lo³¹̈;tho³¹̈;kho³¹̈;khlo³¹̈;lo³¹̈	U 3	ö ³¹	11
o³¹῀	do³¹῀;tho³¹῀;lo³¹῀;kho³¹῀;no³¹῀	U 3	õ ³¹	11
õ³¹̈	thuɁ²¹thõ³¹̈;bõ³¹̈;phõ³¹̈;mlõ³¹̈	U 3	ṏ ³¹	4
ɔ³¹῀	thɔ³¹῀;bɔ³¹῀;Ɂɔ³¹῀ Ɂo³³;mi³³mɔ³¹῀;Ɂɔ³¹῀	U 3	ɔ̃ ³¹	12
ɔ̃³¹̈	daɁ⁴⁵bɔ̃³¹̈;Ɂɔ̃³¹̈Ɂu⁵⁵;lɔ̃³¹̈;Ɂɔ̃³¹̈;bɨ⁵⁵lɔ̃³¹̈	U 3	ɔ̃̈ ³¹	8
u¹¹̈	nə̯u¹¹̈;thu¹¹̈;ɣou¹¹̈;lãu¹¹̈;khu¹¹̈	Y 1	ü ¹¹	12
u³¹̈	Ɂu³¹̈;khu³¹̈;cu³¹̈;su³¹̈;phru³¹̈	Y 3	ü ³¹	18
u³¹῀	khu³¹῀;chu³¹῀;su³¹῀;su³¹῀;pu³¹῀	Y 3	ũ ³¹	7
am³¹̈	tham³¹̈;tham³¹̈	A M 3	ä m ³¹	2
an³¹̈	khan³¹̈;Ɂan³¹̈	A N 3	ä n ³¹	2
aŋ³¹̈	taɁ⁴⁵baŋ³¹̈;chaŋ³¹̈;Ɂaŋ³¹̈;thaŋ³¹̈;taɁ⁴⁵baŋ³¹̈	A N 3	ä ŋ ³¹	7
əm³¹̈	səm³¹̈;chəm³¹̈;thuəm³¹̈;duəm³¹̈;səm³¹̈	E M 3	ə̈ m ³¹	5
ɛm³¹̈	khlɛm³¹̈	E M 3	ɛ̈ m ³¹	1
ə̯m³¹̈	chuə̯m³¹̈	E M 3	ə̯̈ m ³¹	1
en³¹̈		E N 3	ë ŋ ³¹	0
eŋ³¹̈	Ɂeŋ³¹̈;pleŋ³¹̈;reŋ³¹̈;Ɂeŋ³¹̈;pleŋ³¹̈	E N 3	ë ŋ ³¹	6
ən³¹̈	chən³¹̈;rən³¹̈	E N 3	ə̈ ŋ ³¹	2
əŋ³¹̈	Ɂəŋ³¹̈;təŋ³¹̈;səŋ³¹̈;cəŋ³¹̈;Ɂəŋ³¹̈	E N 3	ə̈ ŋ ³¹	7
ɛŋ³¹̈	chɛŋ³¹̈;thɛŋ³¹̈;khlɛŋ³¹̈;chɛŋ³¹̈;thɛŋ³¹̈	E N 3	ɛ̈ ŋ ³¹	5
ə̯n³¹̈	ruə̯n³¹̈	E N 3	ə̯̈ n ³¹	1
ɨm³¹̈	phrɨm³¹̈	I M 3	ɨ̈ m ³¹	1
in³¹̈	min³¹̈;min³¹̈	I N 3	ï n ³¹	2
ɨn³¹̈	thɨn³¹̈;dɨn³¹̈;phrɨn³¹̈	I N 3	ɨ̈ n ³¹	3
om³¹̈	chom³¹̈	U M 3	ö m ³¹	1
oŋ³¹̈	Ɂoŋ³¹̈;Ɂoŋ³¹̈	U N 3	ö ŋ ³¹	2
