NUMBER	English	Concepticon_ID	Concepticon_Gloss
1	all, all gone, whole	98	ALL
2	ant	587	ANT
3	arrive	1387	ARRIVE
4	arrow, dart	977	ARROW
5	ascend, go up, rise	705	GO UP (ASCEND)
6	ashes, fireplace	185	FIREPLACE
7	astringent		
8	bamboo	1927	BAMBOO
9	bamboo rat		
10	bamboo strip		
11	bamboo shoot		
12	bark (n.), leather, skin	2127	BARK OR SKIN
13	bat	1793	BAT
14	bathe	138	BATHE
15	bear (animal)	1820	BEAR
16	bedbug	1949	BEDBUG
17	bee (Apis cerana)		
18	bee (Apis dorsata)		
19	believe	1890	BELIEVE
20	below, under, underneath	1485	BELOW OR UNDER
21	big, large	1202	BIG
22	bird	937	BIRD
23	bite (v.)	1403	BITE
24	bitter	887	BITTER
25	blood	946	BLOOD
26	blow (a fire)	176	BLOW (WITH MOUTH)
27	boar (wild~)	3154	WILD BOAR
28	boat	1844	BOAT
29	body dirt		
30	boil (v.)	2492	BOIL (SOMETHING)
31	bone	1394	BONE
32	braid	1043	BRAID
33	brain	1583	BRAIN
34	bran,chaff	2362	BRAN
35	breasts	1402	BREAST
36	broken, split, separate	588	BROKEN
37	buffalo	934	BUFFALO
38	buy	1869	BUY
39	caress		
40	carry (on the back)	465	CARRY ON BACK
41	caterpillar	2247	CATERPILLAR
42	catfish		
43	carapace, shell	598	SHELL
44	centipede	1974	CENTIPEDE
45	chameleon	1555	CHAMELEON
46	charcoal	1188	CHARCOAL
47	chicken	1318	CHICKEN
48	chili pepper, pungent	919	CHILI PEPPER
49	chin, jaw	1510	CHIN
50	cicada	2353	CICADA
51	civet cat	3157	CIVET
52	classifier (hand of bananas)		
53	classifier for flat objects		
54	classifier for people, persons		
55	classifier for a piece of meat, cake, etc.		
56	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)		
57	classfier for round objects		
58	classifier for long objects		
59	classifier for four-legged animals		
60	close (one		
61	comb (v.)	2070	COMB (VERB)
62	cotton thread	1161	THREAD
63	cough (v.)	879	COUGH
64	crab	2348	CRAB
65	cricket	2354	CRICKET
66	crocodile	1857	CROCODILE
67	crop (of fowl), gizzard		
68	cross (v.)	2818	FORD (CROSSING)
69	crossbow	3193	CROSSBOW
70	crow (v.)	2074	CROW (VERB)
71	crush (v.)	1520	CRUSH
72	cucumber	496	CUCUMBER
73	dark, late evening	11	DARKNESS
74	daughter-in-law	1057	DAUGHTER-IN-LAW
75	day	1225	DAY (NOT NIGHT)
76	dead,die	2101	BE DEAD OR DIE
77	deaf	458	DEAF PERSON
78	deep	1593	DEEP
79	deer (barking~)		
80	deer (sambha ~)		
81	delicious	1813	TASTY
82	descent, go down, set	2014	GO DOWN (DESCEND)
83	dig	1418	DIG
84	dip up		
85	Dipterocarpus tuberculatus Roxb		
86	disappear, lost	485	DISAPPEAR
87	dog	2009	DOG
88	do, make	2575	DO OR MAKE
89	dove	1853	DOVE
90	dream (v.)	1920	DREAM (SOMETHING)
91	drink(v.)	1401	DRINK
92	dry(v.)	2015	MAKE DRY
93	drunk	1463	DRUNK
94	dung, excrement	2057	DUNG (ANIMAL FAECES)
95	ear	1247	EAR
96	earthworm	2350	EARTHWORM
97	easy	686	EASY
98	eat	1336	EAT
99	egg	744	EGG
100	eggplant	1146	AUBERGINE
101	eight	1705	EIGHT
102	elephant	1290	ELEPHANT
103	embrace, hug	928	EMBRACE
104	enter	749	ENTER
105	exert forcing to expel		
106	extinguish (t.v.)	127	EXTINGUISH
107	eye, face	1248	EYE
108	fall down	2894	TUMBLE (FALL DOWN)
109	fat (adj)	1279	FAT (OBESE)
110	feather, fur, body hair	1201	FEATHER
111	feel full (after eating)		
112	female, woman	962	WOMAN
113	female (humans), mother	1216	MOTHER
114	fire	221	FIRE
115	fish	227	FISH
116	five	493	FIVE
117	flank, rib	801	RIB
118	flat	1633	FLAT
119	flea	232	FLEA
120	flesh, meat	2615	FLESH OR MEAT
