NUMBER	English	Concepticon_ID	Concepticon_Gloss
121	flower	239	FLOWER
122	forget	1523	FORGET
123	forest, jungle	420	FOREST
124	four	1500	FOUR
125	fox, wolf	1312	FOX
126	frog	503	FROG
127	front	2194	FRONT (PART)
128	fruit	1507	FRUIT
129	full	1429	FULL
130	ginger	2500	GINGER
131	go	695	GO
132	grasshopper	607	GRASSHOPPER
133	grandchild	1617	GRANDCHILD
134	great-grandchild		
135	great-great-gandchild		
136	hair (head~)	1040	HAIR
137	handle	1254	HANDLE
138	hat	771	HAT
139	hawk, eagle	2683	EAGLE OR HAWK
140	have, be, exist, stay, there is		
141	head	1256	HEAD
142	heart	1223	HEART
143	heavy	1210	HEAVY
144	hemp	2041	HEMP
145	hip	1745	HIP
146	hit hard (with a fist)		
147	horn	1393	HORN (ANATOMY)
148	hornet	3261	HORNET
149	horse	615	HORSE
150	hundred	1634	HUNDRED
151	husband	1200	HUSBAND
152	ill, painful, sick	1847	SICK
153	insect	620	INSECT
154	intestines	1991	INTESTINES
155	iron	621	IRON
156	itchy	149	ITCHY
157	kidney	489	KIDNEY
158	leaf	628	LEAF
159	leech (land~)	2273	LEECH
160	leech (water~)	949	WATER LEECH
161	left (side)	244	LEFT
162	leg	1297	LEG
163	lemur (flying~), flying squirrel	3271	FLYING SQUIRREL
164	lick (v.)	319	LICK
165	lie down, sleep	215	LIE DOWN
166	light (~weight)	1052	LIGHT (WEIGHT)
167	linear measure of about 8-9 inches (a span)		
168	linear measure of about half a yard (closed-hand)		
169	linear measure of about half a yard (open-hand)		
170	linear measure of about two yards		
171	listen to	1608	LISTEN
172	live, stay		
173	liver	1224	LIVER
174	long (of time)	418	FOR A LONG TIME
175	long (of length), tall, high	1203	LONG
176	look after (things)		
177	loris		
178	louse (chicken~), insect	1392	LOUSE
179	louse (head~)	310	HEAD LOUSE
180	lung	688	LUNG
181	maggot		
182	male (of animals), father	1553	MALE
183	man, male	1554	MAN
184	mango	2398	MANGO
185	many, much	1198	MANY
186	mat	195	MAT
187	milipede		
188	mole	1907	MOLE
189	money	1559	MONEY
190	monitor lizard (land~)	3017	MONITOR LIZARD
191	monitor lizard (water~)		
192	monkey	1350	MONKEY
193	moon, month	2463	MOON OR MONTH
194	mother, female (of animals)		
195	mouse, rat	2139	MUROID (MOUSE OR RAT)
196	mynah		
197	nail		
198	name	1405	NAME
199	narrow	1267	NARROW
200	navel, umbilical cord	1838	NAVEL
201	neck, cheek	1333	NECK
202	new	1231	NEW
203	nine	1483	NINE
204	obtain, receive, take, get	694	GET
205	old (of humans)	2112	OLD (AGED)
206	old (of things)	2113	OLD (USED)
207	one	1493	ONE
208	open (the mouth)	3437	OPEN (MOUTH)
209	ox, bull, cow		
210	palm (of the hand)	1183	PALM OF HAND
211	pangolin, anteater	2508	PANGOLIN
212	parrot, parakeet	882	PARROT
213	path, trail, way	2252	PATH
214	peacock	3382	PEACOCK
215	pen, coop		
216	penis	1222	PENIS
217	pheasant	3060	PHEASANT
218	pig	1337	PIG
219	pile		
220	pointed (as of needles), sharp point	372	POINTED
221	pole	282	POLE
222	porcupine	2510	PORCUPINE
223	porcupine (brush-tailed~)		
224	pot	1462	POT
225	pound (v.)	3768	POUND (FOOD)
226	pull up	2066	PULL UP (RICE SEEDLINGS)
227	pumpkin (ash~)	864	PUMPKIN
228	push	1452	PUSH
229	put on, wear	158	PUT ON
230	put on (a necklace), wear		
231	put out (the tongue)		
232	quail	1893	QUAIL
233	rabbit, hare	2345	LEPORID (RABBIT OR HARE)
234	raise, feed (animals)	2134	RAISE (BRING UP)
235	rattan	2497	RATTAN
236	reach into		
237	resin	664	RESIN
238	right (side)	1019	RIGHT
239	ripe, cooked		
240	roast (by stuffing into fresh bamboo sections)	1962	ROAST (SOMETHING)
241	root	670	ROOT
242	rotten, bad smell	1728	ROTTEN
243	rub, clean, polish, scrub	1449	RUB
244	salt	1274	SALT
245	salty, sweet		
246	sand	671	SAND
247	scale (of fish)	266	SCALE
248	sell	1571	SELL
249	serow, mountain goat	3270	SEROW
250	seven	1704	SEVEN
251	sew	1457	SEW
252	sharp	1396	SHARP
253	sheep	1331	SHEEP
254	shivering	52	SHIVER
255	shoot (v.)	1172	SHOOT
256	short, low	1645	SHORT
257	shoulder	1482	SHOULDER
258	shove (with the foot)		
259	six	1703	SIX
260	skink		
261	sleeping	1585	SLEEP
262	slippery	3702	SLIPPERY
263	smell (v.)	1586	SMELL (PERCEIVE)
264	snail (land~)	1543	SNAIL
265	snail (water~)		
266	snake	730	SNAKE
267	son-in-law	1056	SON-IN-LAW
268	sour	1906	SOUR
269	spider	843	SPIDER
270	spit (v.)	1440	SPIT
271	spleen	1744	SPLEEN
272	split (bamboo strip)	1437	SPLIT
273	spray (v.)		
274	spread out (a mat)	38	SPREAD OUT
275	squeeze, massage	1414	SQUEEZE
276	squirrel	1628	SQUIRREL
277	stand (v.)	1442	STAND
278	star	1430	STAR
279	steal (v.)	713	STEAL
280	stingy	1774	STINGY
281	stomach	819	STOMACH
282	stone, rock	2125	STONE OR ROCK
283	string, rope	362	STRING
284	suck	1421	SUCK
285	sun	1343	SUN
286	sunlight, hot		
287	sway, swing	573	SWAY
288	swollen, swelling		
289	tail	1220	TAIL
290	tasteless, faded	1771	TASTELESS
291	ten	1515	TEN
292	tendon	1137	TENDON
293	termite	883	TERMITE
294	termite (winged~)		
295	termite mound		
296	thick	1244	THICK
297	thin (as of cloth)		
298	thousand	1843	THOUSAND
299	thread (a needle)	1161	THREAD
300	three	492	THREE
301	tick	1527	TICK
302	tie (a string)	1917	TIE
303	tiger	846	TIGER
304	tilted		
305	toad	894	TOAD
306	tomorrow	1329	TOMORROW
307	tongue	1205	TONGUE
308	torn		
309	tortoise	895	TORTOISE
310	tread	575	TREAD
311	trunk (of a tree), firewood	344	TREE TRUNK
312	trunk (of an elephant)	3678	ELEPHANT TRUNK
313	two	1498	TWO
314	urine	1142	URINE
315	vagina	1836	VAGINA
316	vomit (v.)	1278	VOMIT
317	vulture	1185	VULTURE
318	waist	1681	WAIST
319	wart	2665	WART
320	warm	1232	WARM
321	wash (the face)	3371	WASH (ONESELF)
322	wash (clothes)	3434	WASH (CLOTHES)
323	wasp	1517	WASP
324	water	948	WATER
325	wear (a shoulder bag)	976	WEAR
326	weave (cloth), loom	133	WEAVE
327	weave (baskets)	3296	WEAVE (BASKET)
328	weevil		
329	wet	1726	WET
330	white	1335	WHITE
331	wide	1243	WIDE
332	wife	1199	WIFE
333	wild	2230	UNTAMED OR WILD
334	win	866	WIN
335	wing	1257	WING
336	wrong, mistake, error	1390	WRONG
337	yam, potato	410	YAM
338	year	1226	YEAR
339	yellow	1424	YELLOW
340	yes	1268	YES
341	young, soft, tender		
